time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-09-28T15:32:04.580Z,38.5125,-119.536666666667,3.6,3.43,mw,24,97,0.04466,0.09,nc,nc75067836,2024-09-30T00:45:47.977Z,"5 km W of Walker, CA",earthquake,0.2,0.46,,6,reviewed,nc,nc
2024-09-28T13:33:19.683Z,51.993,179.4216,188.247,4.3,mb,29,81,0.096,0.76,us,us7000ngzg,2024-09-28T17:14:49.302Z,"271 km W of Adak, Alaska",earthquake,13.44,9.326,0.044,148,reviewed,us,us
2024-09-28T13:09:25.342Z,38.0566,73.2882,10,4.6,mb,41,147,2.773,1.05,us,us7000ngzd,2024-09-28T13:56:50.040Z,"60 km WSW of Murghob, Tajikistan",earthquake,6.89,1.928,0.09,37,reviewed,us,us
2024-09-28T13:01:47.690Z,34.0165,-116.761,17.98,2.66,ml,116,24,0.04308,0.18,ci,ci40747655,2024-09-30T14:42:07.510Z,"11 km NNE of Cabazon, CA",earthquake,0.12,0.24,0.161,193,reviewed,ci,ci
2024-09-28T12:56:28.323Z,14.3687,-92.9564,49.202,4.3,mb,40,209,2.06,0.84,us,us7000ngz8,2024-09-29T06:46:40.040Z,"69 km SW of Puerto Madero, Mexico",earthquake,11.36,12.217,0.067,63,reviewed,us,us
2024-09-28T12:32:38.055Z,25.8313,141.6942,82.973,5.1,mb,61,103,1.334,0.83,us,us7000ngz7,2024-09-28T12:50:40.040Z,"Volcano Islands, Japan region",earthquake,10.31,6.89,0.057,100,reviewed,us,us
2024-09-28T12:19:38.540Z,19.1501666666667,-155.471333333333,32.32,2.58,ml,60,161,0.01016,0.11,hv,hv74480747,2024-09-30T03:08:32.670Z,"5 km S of Pāhala, Hawaii",earthquake,0.44,0.47,0.146600136482935,45,reviewed,hv,hv
2024-09-28T12:18:14.459Z,37.2959,21.2822,17.489,4.7,mb,46,52,0.526,1.05,us,us7000ngz5,2024-09-29T05:48:03.071Z,"31 km WNW of Filiatrá, Greece",earthquake,3.33,4.83,0.104,28,reviewed,us,us
2024-09-28T12:14:10.186Z,39.0734,56.0594,10,4.6,mb,34,125,1.977,1.06,us,us7000ngz3,2024-09-28T13:16:13.040Z,"21 km WNW of Serdar, Turkmenistan",earthquake,5.21,1.93,0.107,26,reviewed,us,us
2024-09-28T08:09:37.640Z,18.6556666666667,-66.7151666666667,68.28,3.21,md,17,215,0.4197,0.1,pr,pr71461283,2024-09-28T08:40:43.449Z,"20 km N of Arecibo, Puerto Rico",earthquake,0.73,0.9,0.0775625967855089,6,reviewed,pr,pr
